language,family,code,average_edit_distance,sample_mean,sd,z
Akkadian,Afro-Asiatic,akka1240,0.865625,0.865625,0.0,NA
Amharic,Afro-Asiatic,amha1245,0.6617229992229993,0.7679133814102564,0.0141918398102071,-7.482495829108964
Hausa,Afro-Asiatic,haus1257,0.8225649350649351,0.8154164058742184,0.007863383893864154,0.9090907028327556
Lebanese_Arabic,Afro-Asiatic,stan1323,0.7572463768115942,0.8614996376811594,0.018615283372018735,-5.600412241173392
Old_Aramaic,Afro-Asiatic,olda1245,0.5615384615384615,0.6156721153846154,0.015517247753395778,-3.4886118148308434
Polci,Afro-Asiatic,polc1243,0.74375,0.7529546875,0.004648966173973212,-1.9799428852658867
Northern_Ojibwa,Algic,nort2961,0.5706632653061224,0.6071265306122449,0.021979593095739103,-1.6589599792541694
Ottowa_Ojibwa,Algic,otta1242,0.5982142857142857,0.5982142857142857,0.0,NA
Wiyot,Algic,wiyo1248,0.6369047619047619,0.6369047619047619,0.0,NA
Yurok,Algic,yuro1248,0.7270833333333333,0.7314211805555555,0.008092375909851585,-0.5360412406128261
An-ah'-ne-lin_(Gros_Ventres_of_Prairie),Algic,gros1243,0.611904761904762,0.611904761904762,0.0,NA
Blood_Siksika_(Blood_Blackfoot),Algic,bloo1239,0.6108630952380952,0.6108630952380952,0.0,NA
Cree_of_the_Lowlands,Algic,cree1272,0.7998737373737375,0.7998737373737375,0.0,NA
Delaware,Algic,comm1246,0.7263888888888889,0.7263888888888889,0.0,NA
"Etchemiu,_or_Malisete",Algic,male1293,0.6359265734265734,0.6358617424242424,0.0030477863194759906,0.021271505130372185
Kaskaskia,Algic,algo1255,0.45925925925925926,0.4596092592592593,0.008625132346646067,-0.04057908747755233
Kickapoo_(Kikapoo),Algic,kick1244,0.6256578947368421,0.6256578947368421,0.0,NA
Menomine,Algic,meno1252,0.6625,0.6625,0.0,NA
Miami,Algic,miam1252,0.6051136363636364,0.6051136363636364,0.0,NA
Miemac,Algic,mikm1235,0.7245344932844933,0.7237404227716727,0.0060549366087162765,0.13114431481866445
Mohegan,Algic,mohe1244,0.8103219696969697,0.8103219696969697,0.0,NA
Munsee,Algic,muns1251,0.6493999421631,0.6493999421631,0.0,NA
Ojibwa_Kansas,Algic,ojib1241,0.6212121212121212,0.6210075757575758,0.005723793645490469,0.03573599385550077
Ojibwa_Lake_Michigan,Algic,uppe1274,0.6398148148148148,0.642475925925926,0.006681708737396787,-0.39826805023947975
Peoria,Algic,peor1238,0.6176136363636364,0.6176136363636364,0.0,NA
Piegan_Siksika_(Piegan_Blackfoot),Algic,pieg1239,0.7137626262626262,0.7137626262626262,0.0,NA
Plains_Cree_(Cree_of_the_Prairie),Algic,plai1258,0.8030303030303031,0.8030303030303031,0.0,NA
Potawatomi_(Potǎwattamie),Algic,pota1247,0.646969696969697,0.6456416666666667,0.006012545232442321,0.22087655920899438
Sawk_and_Fox,Algic,mesk1242,0.6364267676767676,0.6364267676767676,0.0,NA
Shawnee,Algic,shaw1249,0.5243506493506493,0.5243506493506493,0.0,NA
Shiyan,Algic,chey1247,0.5785308441558441,0.5785308441558441,0.0,NA
Weaw,Algic,nucl1653,0.4842592592592593,0.4836916666666667,0.011673137798483583,0.04862382355036756
Woods_Cree_(Cree_of_the_Woods),Algic,wood1236,0.7998737373737375,0.7998737373737375,0.0,NA
Baure,Arawakan,baur1253,0.8,0.9600375,0.030192158090473768,-5.300631359985326
Ignaciano,Arawakan,igna1246,0.7852678571428571,0.8911834821428571,0.01917553182752277,-5.523477833766188
Mashco_Piro,Arawakan,mash1270,0.5714285714285714,0.582595238095238,0.0019985887943647423,-5.587275730831873
Trinitario,Arawakan,trin1274,0.75,0.75,0.0,NA
Wapishana,Arawakan,wapi1253,0.8393429487179487,0.8408241662851038,0.00380479263511583,-0.38930309985475525
Waurá,Arawakan,waur1244,0.7531866281866282,0.7590628645081771,0.011373099548414143,-0.5166785269516309
Wayuu,Arawakan,wayu1243,0.5708333333333333,0.5801076388888888,0.005768694631805522,-1.6076957002407317
Yavitero,Arawakan,yavi1244,0.7847222222222222,0.8399835069444445,0.009042814317269178,-6.1110714854212
Asu_Tanzania_,Atlantic-Congo,asut1235,0.9434434778184778,0.8981700651200651,0.011740936868469764,3.8560306733267797
Avatime,Atlantic-Congo,avat1244,0.75,0.75,0.0,NA
Bafia,Atlantic-Congo,bafi1243,0.9166666666666666,0.9166666666666666,0.0,NA
Bali_Congo_,Atlantic-Congo,bali1274,0.625,0.625,0.0,NA
Bali_DRC_,Atlantic-Congo,bali1275,0.625,0.625,0.0,NA
Bamun,Atlantic-Congo,bamu1253,0.8737373737373737,0.8737373737373737,0.0,NA
Batanga,Atlantic-Congo,bata1285,0.6844179069604767,0.7796336785722864,0.012785712820566923,-7.4470444431261535
Bemba,Atlantic-Congo,bemb1257,0.7722222222222223,0.7663863095238095,0.008454875326533254,0.6902423126333271
Bena_Tanzania_,Atlantic-Congo,bena1262,0.78125,0.79210859375,0.018907284773566485,-0.5743074100825383
Bende,Atlantic-Congo,bend1258,0.8841394716394716,0.8374602064602065,0.012834760667003026,3.6369408351550465
